ID,PLATFORM,BOT,BROWSER,DIST
1855,Windows,False,Chrome,
1856,Windows,False,Chrome,
1858,Windows,False,ChromiumEdge,
1859,iOS,False,,iPhone
1860,Windows,False,Chrome,
1861,Android,False,Chrome,Android
1862,iOS,False,,iPhone
1863,iOS,False,Firefox,iPhone
1864,iOS,False,Safari,iPhone
1865,Mac OS,False,Safari,
1866,Windows,False,Chrome,
1867,Windows,False,ChromiumEdge,
1868,Android,False,Chrome,Android
1869,Mac OS,False,Safari,
1870,Windows,False,Firefox,
1871,Windows,False,Chrome,
1872,Windows,False,Chrome,
1873,Windows,False,Chrome,
1874,Windows,False,Chrome,
1875,Windows,False,Chrome,
1876,Mac OS,False,Chrome,
1877,Mac OS,False,Chrome,
1878,Mac OS,False,Safari,
1879,Windows,False,Chrome,
1880,Mac OS,False,Safari,
1881,Mac OS,False,Safari,
1882,Windows,False,Chrome,
1883,Windows,False,Chrome,
1884,Windows,False,ChromiumEdge,
1885,Windows,False,Chrome,
1886,Windows,False,Chrome,
1887,Mac OS,False,Safari,
1888,iOS,False,Safari,iPhone
1889,Android,False,Chrome,Android
1890,Windows,False,ChromiumEdge,
1891,Mac OS,False,Chrome,
1892,Mac OS,False,Firefox,
